iter	Passed	Remaining
0	100	100023
1	100	50266
2	101	33654
3	101	25336
4	102	20354
5	102	17023
6	103	14638
7	103	12856
8	104	11467
9	104	10384
10	105	9486
11	106	8732
12	106	8086
13	107	7536
14	107	7051
15	107	6627
16	108	6254
17	108	5927
18	109	5639
19	109	5378
20	110	5142
21	110	4926
22	111	4724
23	112	4554
24	112	4389
25	113	4236
26	113	4091
27	114	3961
28	114	3840
29	115	3726
30	115	3617
31	116	3513
32	116	3419
33	117	3330
34	117	3249
35	118	3173
36	118	3096
37	119	3023
38	119	2956
39	120	2889
40	120	2830
41	121	2771
42	122	2716
43	122	2661
44	122	2610
45	123	2562
46	124	2516
47	124	2472
48	125	2428
49	125	2387
50	126	2348
51	126	2311
52	127	2273
53	127	2239
54	128	2207
55	128	2174
56	129	2141
57	129	2109
58	130	2080
59	131	2052
60	131	2027
61	132	2002
62	132	1977
63	133	1952
64	133	1927
65	134	1903
66	134	1879
67	135	1856
68	136	1836
69	136	1817
70	137	1798
71	137	1778
72	138	1758
73	138	1739
74	139	1722
75	140	1703
76	140	1685
77	141	1667
78	141	1650
79	142	1634
80	142	1617
81	143	1604
82	143	1586
83	144	1572
84	144	1559
85	145	1545
86	145	1531
87	146	1517
88	146	1503
89	147	1490
90	147	1477
91	148	1463
92	148	1450
93	149	1439
94	149	1428
95	150	1417
96	150	1405
97	151	1394
98	152	1383
99	152	1372
100	153	1362
101	153	1352
102	154	1342
103	154	1332
104	155	1323
105	155	1313
106	156	1304
107	156	1295
108	157	1286
109	157	1277
110	158	1269
111	159	1260
112	159	1252
113	159	1243
114	160	1234
115	160	1226
116	161	1217
117	161	1210
118	162	1203
119	163	1195
120	163	1188
121	164	1181
122	164	1174
123	165	1167
124	165	1159
125	166	1152
126	166	1145
127	167	1138
128	167	1131
129	168	1126
130	168	1119
131	169	1113
132	169	1107
133	170	1101
134	171	1095
135	171	1090
136	172	1084
137	172	1078
138	173	1073
139	173	1067
140	174	1063
141	175	1057
142	175	1053
143	176	1048
144	176	1042
145	177	1037
146	177	1032
147	178	1026
148	178	1021
149	179	1016
150	179	1010
151	180	1005
152	180	1001
153	181	996
154	182	992
155	182	987
156	183	983
157	183	978
158	183	973
159	184	968
160	184	962
161	185	958
162	185	953
163	186	948
164	186	944
165	187	940
166	187	936
167	188	933
168	188	928
169	189	924
170	189	920
171	190	916
172	190	912
173	191	908
174	191	904
175	192	900
176	192	896
177	193	893
178	193	889
179	194	886
180	195	882
181	195	878
182	195	874
183	196	870
184	196	867
185	197	863
186	197	860
187	198	856
188	198	853
189	199	850
190	199	846
191	200	843
192	200	840
193	201	837
194	201	833
195	202	830
196	202	827
197	203	824
198	204	821
199	204	817
200	205	814
201	205	812
202	206	809
203	206	806
204	207	803
205	207	800
206	208	797
207	208	794
208	209	791
209	209	788
210	210	785
211	210	782
212	211	779
213	211	777
214	212	775
215	213	773
216	213	770
217	214	768
218	214	765
219	215	763
220	215	760
221	216	758
222	216	755
223	217	753
224	217	750
225	218	748
226	219	746
227	219	744
228	220	742
229	220	739
230	221	737
231	222	735
232	222	733
233	223	731
234	223	729
235	224	727
236	225	725
237	225	722
238	226	720
239	226	718
240	227	716
241	228	714
242	228	712
243	229	710
244	229	708
245	230	706
246	231	705
247	232	703
248	232	701
249	233	699
250	233	697
251	234	695
252	234	693
253	235	691
254	235	688
255	236	686
256	237	685
257	237	683
258	238	683
259	239	681
260	240	679
261	240	677
262	241	675
263	241	673
